,,Grouped by changer,Grouped by changer,Grouped by changer,Grouped by changer
,,Missing,Overall,False,True
n,,,67397,66237,1160
"mean_diastolic, mean (SD)",,0,74.9 (8.0),74.9 (7.9),74.2 (10.4)
"mean_systolic, mean (SD)",,0,136.2 (11.9),136.0 (11.6),146.6 (19.0)
"max_ha1c, mean (SD)",,44250,6.9 (2.1),6.9 (2.1),7.1 (2.0)
"mean_ha1c, mean (SD)",,44250,6.3 (1.4),6.3 (1.4),6.4 (1.5)
"max_bili, mean (SD)",,34493,0.2 (1.4),0.2 (1.4),0.2 (0.5)
"mean_bili, mean (SD)",,34493,0.1 (0.6),0.1 (0.6),0.1 (0.3)
"age, mean (SD)",,0,75.0 (11.3),75.1 (11.2),68.8 (14.9)
"min_egfr, mean (SD)",,36899,47.8 (18.7),48.2 (18.6),22.9 (5.5)
"female, n (%)",False,,31742 (47.1),31102 (47.0),640 (55.2)
"female, n (%)",True,,35655 (52.9),35135 (53.0),520 (44.8)
"white, n (%)",False,,13995 (20.8),13595 (20.5),400 (34.5)
"white, n (%)",True,,53402 (79.2),52642 (79.5),760 (65.5)
"black, n (%)",False,,59303 (88.0),58368 (88.1),935 (80.6)
"black, n (%)",True,,8094 (12.0),7869 (11.9),225 (19.4)
"asian, n (%)",False,,65970 (97.9),64875 (97.9),1095 (94.4)
"asian, n (%)",True,,1427 (2.1),1362 (2.1),65 (5.6)
"nw_hispanic, n (%)",False,,64719 (96.0),63644 (96.1),1075 (92.7)
"nw_hispanic, n (%)",True,,2678 (4.0),2593 (3.9),85 (7.3)
"dm2, n (%)",False,,34663 (51.4),34332 (51.8),331 (28.5)
"dm2, n (%)",True,,32734 (48.6),31905 (48.2),829 (71.5)
"proteinuria, n (%)",False,,66903 (99.3),65782 (99.3),1121 (96.6)
"proteinuria, n (%)",True,,494 (0.7),455 (0.7),39 (3.4)
"pyelonephritis, n (%)",False,,67150 (99.6),66003 (99.6),1147 (98.9)
"pyelonephritis, n (%)",True,,247 (0.4),234 (0.4),13 (1.1)
"mean_ha1c_missing, n (%)",False,,23147 (34.3),22744 (34.3),403 (34.7)
"mean_ha1c_missing, n (%)",True,,44250 (65.7),43493 (65.7),757 (65.3)
"mean_bili_missing, n (%)",False,,32904 (48.8),32242 (48.7),662 (57.1)
"mean_bili_missing, n (%)",True,,34493 (51.2),33995 (51.3),498 (42.9)
"min_egfr_missing, n (%)",False,,30498 (45.3),29910 (45.2),588 (50.7)
"min_egfr_missing, n (%)",True,,36899 (54.7),36327 (54.8),572 (49.3)
"ESRD, n (%)",False,,64593 (95.8),63618 (96.0),975 (84.1)
"ESRD, n (%)",True,,2804 (4.2),2619 (4.0),185 (15.9)
