,method,k_set,accuracy,mean_unfairness,max_unfairness,A_unfairness,B_unfairness,C_unfairness,runtime
0,ExpGrad.1,2,0.705058,-0.0573447373841576,-0.0946194115667445,-0.0946194115667445,-0.0395255700362294,-0.0359092207777189,0 days 00:02:34.273763
1,ExpGrad.01,2,0.618314,-0.0016343811138678,-0.0046819682968515,-0.0046819682968515,0.0,0.0,0 days 00:04:47.732502
2,RedGrid25,2,0.725952,-0.0898894584283585,-0.1241845266402008,-0.1241845266402008,-0.0803523020280581,-0.0656006464349499,0 days 00:11:01.384246
3,RedGrid5,2,0.688116,-0.0461738901773168,-0.0816100475405897,-0.0816100475405897,0.0,-0.0452635677010291,0 days 00:11:03.910086
4,RedGrid75,2,0.688116,-0.0461738901773168,-0.0816100475405897,-0.0816100475405897,0.0,-0.0452635677010291,0 days 00:11:06.867517
5,ExpGrad.1,2,0.707353,-0.0529954744990253,-0.0900361560829046,-0.0900361560829046,-0.0310018828650371,-0.0342805155940535,0 days 00:02:20.774472
6,ExpGrad.01,2,0.623113,-0.0116321168120726,-0.0186686430899487,-0.0111983585277921,-0.0186686430899487,-0.0072946672968512,0 days 00:03:32.348888
7,RedGrid25,2,0.711404,-0.0755648035478209,-0.1138047698402457,-0.1138047698402457,-0.0298842732210149,-0.0716868477421532,0 days 00:12:13.092216
8,RedGrid5,2,0.674075,-0.033574237046279,-0.0496483282477194,-0.0496483282477194,0.0,-0.0416048903971145,0 days 00:12:09.425044
9,RedGrid75,2,0.674075,-0.033574237046279,-0.0496483282477194,-0.0496483282477194,0.0,-0.0416048903971145,0 days 00:12:13.403798
10,ExpGrad.1,0,0.707409,-0.0803654407803501,-0.0982664410666075,-0.0982664410666075,-0.0712876353354251,-0.0696884985127934,0 days 00:03:20.417693
11,ExpGrad.01,0,0.68672,-0.0126939803642397,-0.0181032050513227,-0.0181032050513227,-0.0100512344741591,-0.0094121294041995,0 days 00:06:23.081115
12,RedGrid25,0,0.686953,-0.120792608041005,-0.151533246198781,-0.151533246198781,-0.0989616214667646,-0.105913549977922,0 days 00:12:18.214986
13,RedGrid5,0,0.686953,-0.120792608041005,-0.151533246198781,-0.151533246198781,-0.0989616214667646,-0.105913549977922,0 days 00:12:20.166803
14,RedGrid75,0,0.686953,-0.120792608041005,-0.151533246198781,-0.151533246198781,-0.0989616214667646,-0.105913549977922,0 days 00:12:15.368870
15,ExpGrad.1,1,0.707297,-0.0086134786932397,-0.0901194351696591,-0.0901194351696591,0.0,-0.010875752115233,0 days 00:02:54.688524
16,ExpGrad.01,1,0.568182,0.0,0.0,0.0,0.0,0.0,0 days 00:02:54.378108
17,RedGrid25,1,0.699866,-0.0022900257112575,-0.1011956208600456,-0.1011956208600456,0.0,-0.0005128494340359,0 days 00:13:24.557147
18,RedGrid5,1,0.699866,-0.0022900257112575,-0.1011956208600456,-0.1011956208600456,0.0,-0.0005128494340359,0 days 00:13:21.469347
19,RedGrid75,1,0.699866,-0.0022900257112575,-0.1011956208600456,-0.1011956208600456,0.0,-0.0005128494340359,0 days 00:13:12.188574
20,ExpGrad.1,2,0.714066,-0.0602220892344247,-0.0933247659225901,-0.0933247659225901,-0.0331984922330798,-0.0491061492182545,0 days 00:02:19.072303
21,ExpGrad.01,2,0.617784,-0.004457390493266,-0.0092340072714887,-0.0092340072714887,0.0,-0.0032278151132682,0 days 00:04:09.265212
22,RedGrid25,2,0.717122,-0.0755597352900009,-0.0997293776835971,-0.0997293776835971,-0.0599787491586548,-0.064658638210607,0 days 00:11:37.530615
23,RedGrid5,2,0.708938,-0.0678522636717811,-0.1136738157403026,-0.1136738157403026,-0.0144393803084308,-0.0632061637349149,0 days 00:11:37.434158
24,RedGrid75,2,0.655895,-0.0134026500336234,-0.0387490367989722,-0.0387490367989722,0.0,0.0,0 days 00:11:40.378363
25,ExpGrad.1,1,0.710121,-0.028322603145892,-0.1082467729011515,-0.1082467729011515,-0.03556702289085,-0.0218272099102492,0 days 00:02:42.050045
26,ExpGrad.01,1,0.582237,0.0,0.0,0.0,0.0,0.0,0 days 00:02:40.171890
27,RedGrid25,1,0.694508,-0.0014657357995888,-0.0745430251877208,-0.0745430251877208,0.0,0.0,0 days 00:12:28.788798
28,RedGrid5,1,0.694508,-0.0014657357995888,-0.0745430251877208,-0.0745430251877208,0.0,0.0,0 days 00:12:26.029896
29,RedGrid75,1,0.694508,-0.0014657357995888,-0.0745430251877208,-0.0745430251877208,0.0,0.0,0 days 00:12:24.063356
30,ExpGrad.1,2,0.706402,-0.0592376074449976,-0.0914400977168916,-0.0914400977168916,-0.0639075178056611,-0.0270438152017952,0 days 00:02:13.017409
31,ExpGrad.01,2,0.62115,-0.0077575776053434,-0.0121313195343032,-0.0083035601106913,-0.0005136231445207,-0.0121313195343032,0 days 00:03:36.797819
32,RedGrid25,2,0.718497,-0.0702461958548586,-0.1059955971823201,-0.1059955971823201,-0.0959803049515193,-0.0207013585961067,0 days 00:12:47.226439
33,RedGrid5,2,0.718497,-0.0702461958548586,-0.1059955971823201,-0.1059955971823201,-0.0959803049515193,-0.0207013585961067,0 days 00:12:45.677708
34,RedGrid75,2,0.600375,-0.0023219484214466,-0.0066240210171592,-0.0066240210171592,0.0,0.0,0 days 00:12:45.175193
35,ExpGrad.1,0,0.706486,-0.082932780588052,-0.0996717077317077,-0.0996717077317077,-0.0754176958056684,-0.0724509661730093,0 days 00:02:58.981116
36,ExpGrad.01,0,0.690069,-0.0142521964038786,-0.0193098985614399,-0.0193098985614399,-0.011245934894141,-0.0114910125056361,0 days 00:06:45.463917
37,RedGrid25,0,0.686118,-0.0811384926121532,-0.1131328669583451,-0.1131328669583451,-0.005159107939451,-0.0951060206709496,0 days 00:11:25.825092
38,RedGrid5,0,0.664411,-0.0551814590483799,-0.11158585084348,-0.11158585084348,0.0,-0.036338556502994,0 days 00:11:52.167368
39,RedGrid75,0,0.664411,-0.0551814590483799,-0.11158585084348,-0.11158585084348,0.0,-0.036338556502994,0 days 00:11:45.756841
40,ExpGrad.1,0,0.707334,-0.081104508760278,-0.098908527165124,-0.098908527165124,-0.0733469054914687,-0.0697704569722865,0 days 00:03:21.062529
41,ExpGrad.01,0,0.690394,-0.0150955582478074,-0.0203856206636383,-0.0203856206636383,-0.0152910164191343,-0.010344406472494,0 days 00:07:30.842030
42,RedGrid25,0,0.686515,-0.0778864764034917,-0.1121769461364574,-0.1121769461364574,-0.0009159109669872,-0.0903778403407011,0 days 00:11:31.542357
43,RedGrid5,0,0.686515,-0.0778864764034917,-0.1121769461364574,-0.1121769461364574,-0.0009159109669872,-0.0903778403407011,0 days 00:11:31.679013
44,RedGrid75,0,0.665536,0.0,0.0,0.0,0.0,0.0,0 days 00:11:39.620096
45,ExpGrad.1,1,0.711384,-0.0344422251845958,-0.1077954053276853,-0.1077954053276853,-0.0360004697642926,-0.0312921112829831,0 days 00:02:20.144626
46,ExpGrad.01,1,0.591389,-0.0004834599593818,-0.0007602999244949,-0.0001755010283577,0.0,-0.0007602999244949,0 days 00:03:21.654237
47,RedGrid25,1,0.700016,-0.0083298202269336,-0.1026511749850396,-0.1026511749850396,0.0,-0.0099910428276561,0 days 00:12:05.163825
48,RedGrid5,1,0.700016,-0.0083298202269336,-0.1026511749850396,-0.1026511749850396,0.0,-0.0099910428276561,0 days 00:13:02.323927
49,RedGrid75,1,0.700016,-0.0083298202269336,-0.1026511749850396,-0.1026511749850396,0.0,-0.0099910428276561,0 days 00:13:07.846435
50,ExpGrad.1,2,0.702155,-0.0465381060684064,-0.0794805015196046,-0.0794805015196046,-0.0351355929671662,-0.0246848690644312,0 days 00:03:11.395851
51,ExpGrad.01,2,0.619562,-0.0064571513052848,-0.0104309486611542,-0.0067942336695002,0.0,-0.0104309486611542,0 days 00:04:00.795358
52,RedGrid25,2,0.72629,-0.0859297426729823,-0.1171825803968706,-0.1171825803968706,-0.0780054483021767,-0.0632818795069688,0 days 00:13:46.197299
53,RedGrid5,2,0.675974,-0.0375876265494333,-0.0567552673053416,-0.0567552673053416,0.0,-0.0453632349573467,0 days 00:13:22.804485
54,RedGrid75,2,0.675974,-0.0375876265494333,-0.0567552673053416,-0.0567552673053416,0.0,-0.0453632349573467,0 days 00:13:13.301178
55,ExpGrad.1,2,0.694061,-0.0422612546472306,-0.0739738583901327,-0.0739738583901327,-0.0124170740092189,-0.0337481452737232,0 days 00:03:16.811534
56,ExpGrad.01,2,0.606827,-0.0029353674467153,-0.0071043038677024,-0.0071043038677024,0.0,-0.0011531741958155,0 days 00:05:43.874699
