,,Grouped by ESRD,Grouped by ESRD,Grouped by ESRD,Grouped by ESRD
,,Missing,Overall,False,True
n,,,67397,64593,2804
"max_diastolic, mean (SD)",,0,87.3 (10.5),87.3 (10.4),88.5 (12.9)
"mean_diastolic, mean (SD)",,0,75.3 (7.9),75.4 (7.9),74.2 (8.8)
"max_systolic, mean (SD)",,0,159.8 (17.1),159.5 (16.8),167.7 (21.1)
"mean_systolic, mean (SD)",,0,136.6 (11.9),136.5 (11.7),140.0 (14.1)
"max_ha1c, mean (SD)",,44250,7.3 (2.1),7.3 (2.1),7.5 (2.2)
"mean_ha1c, mean (SD)",,44250,6.8 (1.4),6.8 (1.4),6.9 (1.6)
"max_bili, mean (SD)",,34493,0.7 (1.4),0.7 (1.4),0.6 (0.7)
"mean_bili, mean (SD)",,34493,0.6 (0.6),0.6 (0.6),0.5 (0.3)
"age, mean (SD)",,0,75.0 (11.3),75.1 (11.3),72.0 (12.3)
"min_egfr, mean (SD)",,36899,48.3 (18.7),49.5 (18.0),22.3 (16.1)
"female, n (%)",False,,31742 (47.1),30310 (46.9),1432 (51.1)
"female, n (%)",True,,35655 (52.9),34283 (53.1),1372 (48.9)
"white, n (%)",False,,13995 (20.8),13074 (20.2),921 (32.8)
"white, n (%)",True,,53402 (79.2),51519 (79.8),1883 (67.2)
"black, n (%)",False,,59303 (88.0),57035 (88.3),2268 (80.9)
"black, n (%)",True,,8094 (12.0),7558 (11.7),536 (19.1)
"asian, n (%)",False,,65970 (97.9),63268 (97.9),2702 (96.4)
"asian, n (%)",True,,1427 (2.1),1325 (2.1),102 (3.6)
"nw_hispanic, n (%)",False,,64719 (96.0),62117 (96.2),2602 (92.8)
"nw_hispanic, n (%)",True,,2678 (4.0),2476 (3.8),202 (7.2)
"rural, n (%)",False,,60759 (90.2),58222 (90.1),2537 (90.5)
"rural, n (%)",True,,6638 (9.8),6371 (9.9),267 (9.5)
"white_urban, n (%)",False,,19950 (29.6),18813 (29.1),1137 (40.5)
"white_urban, n (%)",True,,47447 (70.4),45780 (70.9),1667 (59.5)
"dm2, n (%)",False,,34663 (51.4),33646 (52.1),1017 (36.3)
"dm2, n (%)",True,,32734 (48.6),30947 (47.9),1787 (63.7)
"kidstone, n (%)",False,,66142 (98.1),63370 (98.1),2772 (98.9)
"kidstone, n (%)",True,,1255 (1.9),1223 (1.9),32 (1.1)
"proteinuria, n (%)",False,,66903 (99.3),64142 (99.3),2761 (98.5)
"proteinuria, n (%)",True,,494 (0.7),451 (0.7),43 (1.5)
"pyelonephritis, n (%)",False,,67150 (99.6),64365 (99.6),2785 (99.3)
"pyelonephritis, n (%)",True,,247 (0.4),228 (0.4),19 (0.7)
"htn_emerg, n (%)",False,,67270 (99.8),64489 (99.8),2781 (99.2)
"htn_emerg, n (%)",True,,127 (0.2),104 (0.2),23 (0.8)
"glomerulonephritis, n (%)",False,,67292 (99.8),64506 (99.9),2786 (99.4)
"glomerulonephritis, n (%)",True,,105 (0.2),87 (0.1),18 (0.6)
